homeownership,income,age,total,year
renter,$140000 to $159999,30 to 34 years old,127,2021
renter,$140000 to $159999,35 to 44 years old,143,2021
renter,$140000 to $159999,45 to 54 years old,233,2021
renter,$140000 to $159999,55 to 64 years old,171,2021
renter,$140000 to $159999,65 to 74 years old,93,2021
renter,$140000 to $159999,75 years old and over,65,2021
renter,$160000 to $179999,Under 25 years old,28,2021
renter,$160000 to $179999,25 to 29 years old,89,2021
renter,$160000 to $179999,30 to 34 years old,126,2021
renter,$160000 to $179999,35 to 44 years old,128,2021
renter,$160000 to $179999,45 to 54 years old,96,2021
renter,$160000 to $179999,55 to 64 years old,45,2021
renter,$160000 to $179999,65 to 74 years old,56,2021
renter,$160000 to $179999,75 years old and over,43,2021
renter,$180000 to $199999,Under 25 years old,396,2021
renter,$180000 to $199999,25 to 29 years old,0,2021
renter,$180000 to $199999,30 to 34 years old,61,2021
renter,$180000 to $199999,35 to 44 years old,99,2021
renter,$180000 to $199999,45 to 54 years old,102,2021
renter,$180000 to $199999,55 to 64 years old,70,2021
renter,$180000 to $199999,65 to 74 years old,43,2021
renter,$180000 to $199999,75 years old and over,63,2021
renter,$200000 or more,Under 25 years old,56,2021
renter,$200000 or more,25 to 29 years old,188,2021
renter,$200000 or more,30 to 34 years old,264,2021
renter,$200000 or more,35 to 44 years old,337,2021
renter,$200000 or more,45 to 54 years old,330,2021
renter,$200000 or more,55 to 64 years old,157,2021
renter,$200000 or more,65 to 74 years old,37,2021
renter,$200000 or more,75 years old and over,0,2021
